"walk ","WEEK","GAME","TEAM 1 RANK","DIVISON","Away Team","TEAM 1 SCORE","Home Team","TEAM 2","DIVISON","TEAM 2 RANK","MOTW RANKING","GAME #","WINNER","OPPOSING TEAM","BLOWOUT","SCORE GAP","COMBINED SCORE","MOTW","TEAM WITH HIGHEST SCORE","UPSET","Week","","","","","","","","","","","","LOW SCORE GAP RANK","HIGH SCORE GAP RANK","LOW COMBINED SCORE RANK","HIGH COMBINED SCORE RANK","GAME QUALITY","BEST GAME QUALITY RANK","WORST GAME QUALITY RANK","","MOTW BEST GAME QUALITY RANK","MOTW RANKING","UPSET MOTW RANK","UPSET RANK","","","Top 5 Greatest 2025 MOTW Regular Season Games - PVE FFL","","","","","","","","","","","Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","HOME Wins","HOME Losses","HOME Win %","","Schedule Competivness","SOS L","SOS R",""
"21","WEEK 5","GAME 1","3","ESTEEMED","YARDIES","204.92","143.90","METAMOOKDAWGS","ESTEEMED","7","13.83","2","YARDIES","METAMOOKDAWGS","YES","61.02","348.82","","","","5","1","0","","","","","","","","","","60","11","54","17","38.5","43","28","-","UPCOMING","45.00","NO UPSET","-","","","4","6.92","2025","WEEK 14","SAVAGES","CHAMPS","2025 REG, PVE FFL GAME 68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","WEEK 5","GAME 2","2","ESTEEMED","MUTTS","161.98","141.58","EAGLES","ESTEEMED","10","23.66","5","MUTTS","EAGLES","","20.40","303.56","","","","5","1","0","","","","","","","","","","17","54","25","46","31.5","27","44","-","UPCOMING","68.00","NO UPSET","-","","","5","8.73","2025","WEEK 11","YARDIES","SAVAGES","2025 REG, PVE FFL GAME 55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","WEEK 5","GAME 3","4","PRODIGY","DECOUPES","116.20","172.82","KINGS","PRODIGY","9","17.54","4","KINGS","DECOUPES","YES","56.62","289.02","","","UPSET","5","0","0","","","","","","","","","","56","15","17","54","55.0","65","6","-","UPCOMING","58.00","17.54","9.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","WEEK 5","GAME 4","1","PRODIGY","POPEYES","202.46","156.15","SAVAGES","PRODIGY","6","14.54","3","POPEYES","SAVAGES","YES","46.31","358.61","","","","5","1","1","","","","","","","","","","51","20","55","16","33.5","31","40","-","UPCOMING","46.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","WEEK 5","GAME 5","8","PRODIGY","GREEN","167.16","164.86","CHAMPS","ESTEEMED","5","13.12","1","GREEN","CHAMPS","","2.30","332.02","MOTW","","UPSET","5","1","0","","","","","","","","","","3","68","43","28","15.5","5","66","15.5","3","42.00","13.12","13.00","","","","","","Week","Winner","Opposing Team","Game Ref #","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","WEEK 6","GAME 1","6","ESTEEMED","CHAMPS","149.44","175.13","EAGLES","ESTEEMED","10","16.83","4","EAGLES","CHAMPS","","25.69","324.57","","","UPSET","6","0","0","","","","","","","","","","23","48","39","32","27.5","23","48","-","UPCOMING","54.00","16.83","11.00","","","1","136.87","2025","WEEK 3","CHAMPS","DECOUPES","2025 REG, PVE FFL GAME 13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","WEEK 6","GAME 2","2","ESTEEMED","MUTTS","162.92","127.98","YARDIES","ESTEEMED","3","4.71","1","MUTTS","YARDIES","","34.94","290.90","MOTW","","","6","1","0","","","","","","","","","","36","35","18","53","44.5","51","20","44.5","13","3.00","NO UPSET","-","","","2","97.04","2025","WEEK 3","GREEN","YARDIES","2025 REG, PVE FFL GAME 14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","WEEK 6","GAME 3","5","PRODIGY","DECOUPES","141.19","110.89","POPEYES","PRODIGY","1","11.83","3","DECOUPES","POPEYES","","30.30","252.08","","","UPSET","6","1","0","","","","","","","","","","30","41","2","69","49.5","58","13","-","UPCOMING","34.00","11.83","18.00","","","3","84.55","2025","WEEK 13","DECOUPES","SAVAGES","2025 REG, PVE FFL GAME 62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","WEEK 6","GAME 4","9","PRODIGY","KINGS","154.16","191.00","GREEN","PRODIGY","4","17.54","5","GREEN","KINGS","","36.84","345.16","","","","6","0","0","","","","","","","","","","39","32","52","19","29.0","24","47","-","UPCOMING","57.00","NO UPSET","-","","","4","79.69","2025","WEEK 2","MUTTS","CHAMPS","2025 REG, PVE FFL GAME 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","WEEK 6","GAME 5","7","PRODIGY","SAVAGES","154.82","153.82","METAMOOKDAWGS","ESTEEMED","8","9.71","2","SAVAGES","METAMOOKDAWGS","","1.00","308.64","","","","6","1","0","","","","","","","","","","2","69","27","44","23.0","12","59","-","UPCOMING","18.00","NO UPSET","-","","","5","72.39","2025","WEEK 12","DECOUPES","METAMOOKDAWGS","2025 REG, PVE FFL GAME 58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
