"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - E","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","1","1","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","4","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","5","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","6","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","7","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","8","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","9","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK","BEST","10","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - P","BEST","1","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - P","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - P","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - P","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - P","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - E","BEST","1","1","MUTTS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - E","BEST","2","1","EAGLES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - E","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - E","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","LONGEST WIN STREAK - E","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - P","BEST","","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - E","BEST","","1","CHAMPS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - E","BEST","","1","MUTTS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST HOME RECORD - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD ","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - P","BEST","","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - P","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - E","BEST","","1","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST AWAY RECORD  - E","BEST","","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Closest Score Game, Winner","WINNER","1","1","MUTTS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Biggest Blowout, Winner","WINNER","1","1","CHAMPS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Highest Combined Score Game, Winner","WINNER","1","1","DECOUPES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Highest Combined Score Game, Loser","LOSER","1","1","METAMOOKDAWGS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Highest Rank Game, Winner","WINNER","1","1","MUTTS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Highest Rank Game, Loser","LOSER","1","1","CHAMPS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Greatest MOTW Game, Winner","WINNER","1","1","POPEYES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Greatest MOTW Game, Loser","LOSER","1","1","MUTTS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Greatest Regular Season Game, Winner","WINNER","1","1","POPEYES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Greatest Regular Season Game, Loser","LOSER","1","1","MUTTS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","Biggest Upset","WINNER","1","1","METAMOOKDAWGS","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","RANK CHANGE","BEST","1","1","YARDIES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","RANK CHANGE","BEST","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","BONUS","RANK CHANGE","BEST","3","1","-","2","","","","","","","",""
