"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"TOTAL SCORE","Total Thru Season","3","6","1","10","9","2","5","7","4","8","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","3","3","-","1.5","","","","","","","",""
"ALL STAR PLAYERS","Most","10","6","1","3","3","8","3","2","6","8","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","1","1","MUTTS","4","","","","","","","",""
"MOST TRADES","Most","1","2","2","5","5","2","5","5","5","5","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","2","1","-","4","","","","","","","",""
"WAIVER WIRE","Most","1","2","6","5","9","4","10","3","6","8","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","3","1","-","4","","","","","","","",""
"RANK CHANGE","BEST","4","8","3","9","4","6","9","1","2","6","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","1","2","SAVAGES","2","","","","","","","",""
"MOTW RECORD","BEST","6","3","2","6","9","5","9","1","4","8","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","2","2","-","2","","","","","","","",""
"MOST BLOWOUTS","MOST","3","5","1","5","1","4","5","5","10","5","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","3","2","-","2","","","","","","","",""
"MOST UPSETS","MOST","3","6","6","5","1","6","3","10","6","1","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","1","3","EAGLES","1","","","","","","","",""
"BEST OVERALL RECORD","BEST","2","4","1","8","8","6","10","2","4","6","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","2","3","-","1","","","","","","","",""
"BEST OVERALL RECORD - P","BEST","2","3","1","4","4","","","","","","","","","","","","","","","","","","","","","","POSITION","WR","HIGHEST SCORE","3","3","-","1","","","","","","","",""
"BEST OVERALL RECORD - E","BEST","","","","","","3","5","1","2","3","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","1","1","SAVAGES","4","","","","","","","",""
"BEST DIVISIONAL RECORD","BEST","2","8","1","8","2","6","8","2","2","6","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","2","1","-","4","","","","","","","",""
"BEST DIVISIONAL RECORD - P","BEST","2","4","1","4","2","","","","","","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","3","1","-","4","","","","","","","",""
"BEST DIVISIONAL RECORD - E","BEST","","","","","","3","5","1","1","3","","","","","","","","","","","","","","","","","POSITION","TE","AVERAGE","1","2","YARDIES","2","","","","","","","",""
