 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECOUPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,LAR HC,7.2,LAR HC,13.9,SEA HC,25.2,SEA HC,8.9,SEA HC,8.5,LAC HC,10.7,CHI HC,11.8,CHI HC,0.8,CHI HC,17.1,PHI HC,5,PHI HC,7.8,PHI HC,4.3,PHI HC,1.5,DEN HC,10.2,,
Total Score,156.56,,156.22,,196.22,,219.36,,202.46,,110.89,,156.92,,114.52,,162.87,,202.13,,169.09,,155.64,,102.49,,153.61,,0,
MVP,B. MAYFIELD,29.48,P. NACUA,27.7,IND D/ST,27.2,M. STAFFORD,38.2,M. STAFFORD,35.26,D. ACHANE,33.6,D. SMITH,34.3,D. ACHANE,21.9,S. DARNOLD,39,D. ACHANE,43.7,T. HENDERSON,34.2,CLE D/ST,39.18,D. ACHANE,22.6,P. NACUA,36.7,#NUM!,#NUM!
#2,P. NACUA,24.20,D. ACHANE,27.30,J. MASON,26.20,P. NACUA,37.00,E. EGBUKA,32.30,M. STAFFORD,13.34,NE D/ST,27.00,IND D/ST,16.74,P. NACUA,22.90,B. MAYFIELD,31.52,D. ACHANE,24.60,S. DARNOLD,22.96,K. PITTS,15.20,H. FANNIN,26.40,,
#3,D. ACHANE,17.20,B. MAYFIELD,26.60,SEA HC,25.20,NE D/ST,28.76,IND D/ST,26.70,LAC HC,10.70,D. ACHANE,14.10,K. PITTS SR.,14.90,D. ACHANE,18.00,T. HENDERSON,30.40,DAL D/ST,23.67,P. NACUA,16.70,P. NACUA,13.20,D. ACHANE,18.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,,Week 7,,Week 8,,Week 9,,Week 10,,Week 11,,Week 12,,Week 13,,Week 14,,Finale,
Team Rank,4,,9,,10,,8,,8,,4,,4,,2,,1,,1,,1,,1,,1,,1,,,
QB,B. NIX,10.04,J. MCCARTHY,1.92,B. NIX,16.82,B. NIX,33.74,B. NIX,21.98,B. NIX,17.46,B. NIX,45.26,B. NIX,32.88,M. STAFFORD,38.44,M. STAFFORD,37.6,M. STAFFORD,17.6,M. STAFFORD,31.92,M. STAFFORD,15.72,M. STAFFORD,31.84,,
RB,B. ROBINSON,26.6,B. ROBINSON,23,B. ROBINSON,17.4,B. ROBINSON,30.8,J. TAYLOR,33.3,B. ROBINSON,38.7,B. ROBINSON,22.6,B. ROBINSON,6.7,B. ROBINSON,18.8,B. ROBINSON,12.5,B. ROBINSON,33.6,B. ROBINSON,16.1,B. ROBINSON,33.6,B. ROBINSON,11.4,,
