"23","DECOUPES","FLEX","S. DIGGS","7.20","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HC","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"24","DECOUPES","D/ST","BUF D/ST","25.11","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HC","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"25","DECOUPES","K","J. ELLIOTT","14.00","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HC","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"26","DECOUPES","HC","LAC HC","10.00","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","DECOUPES","QB","D. JONES","20.42","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","DECOUPES","RB","C. BROWN","7","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","DECOUPES","RB","B. IRVING","16.4","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","DECOUPES","RB","","","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","DECOUPES","WR","C. LAMB","0","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","DECOUPES","WR","J. MEYERS","9.3","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","DECOUPES","WR","W. ROBINSON","3.6","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","DECOUPES","WR","","","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","DECOUPES","TE","T. KELCE","6.6","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","DECOUPES","FLEX","T. KRAFT","5.9","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","DECOUPES","D/ST","BUF D/ST","10.95","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","DECOUPES","K","J. ELLIOTT","3","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","DECOUPES","HC","PHI HC","12.9","WEEK 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","DECOUPES","QB","J. FIELDS","32.44","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","DECOUPES","RB","B. IRVING","28","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","DECOUPES","RB","T. BENSON","11.2","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","DECOUPES","RB","","","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","DECOUPES","WR","J. MEYERS","7","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","DECOUPES","WR","C. GODWIN JR.","5.6","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","DECOUPES","WR","D. MOONEY","2.5","WEEK 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
