"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 6","GAME 4","KINGS","GREEN","","","","","","","","","","","","","","","","","WEEK 8","","","","","","","","","","","","","","","","","","","","","","","","P1","P4","KINGS","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 6","GAME 5","SAVAGES","METAMOOKDAWGS","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","P5","E4","SAVAGES","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 7","GAME 1","EAGLES","YARDIES","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","WEEK 7","E2","E1","EAGLES","YARDIES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 7","GAME 2","CHAMPS","METAMOOKDAWGS","","","","","","","","","","","","","","","","","P5","P1","P4","P3","E1","E5","E4","E3","E2","P2","","","","","","","","","","","","","","","E5","E4","CHAMPS","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 7","GAME 3","KINGS","POPEYES","","","","","","","","","","","","","","","","","WEEK 9","","","","","","","","","","","","","","","","","","","","","","","","P1","P2","KINGS","POPEYES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 7","GAME 4","DECOUPES","MUTTS","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","P3","E3","DECOUPES","MUTTS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 7","GAME 5","SAVAGES","GREEN","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","P5","P4","SAVAGES","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 8","GAME 1","SAVAGES","KINGS","","","","","","","","","","","","","","","","","P2","P4","P3","P5","E2","E4","E3","E5","E1","P1","","","","","","","","","","","","","","WEEK 8","P5","P1","SAVAGES","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 8","GAME 2","GREEN","DECOUPES","","","","","","","","","","","","","","","","","WEEK 10","","","","","","","","","","","","","","","","","","","","","","","","P4","P3","GREEN","DECOUPES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 8","GAME 3","YARDIES","CHAMPS","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","E1","E5","YARDIES","CHAMPS","","","","","","","","","","","","","","","","",""
